year,id,label,value
2005,Berlin,Berlin,48193.5
2005,Brandenburg,Brandenburg,34690.8
2005,Bremen,Bremen,68296.9
2005,Hamburg,Hamburg,94102.7
2005,Hesse,Hesse,63116.8
2005,Lower Saxony,Lower Saxony,44946.4
2005,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,32476.9
2005,North Rhine-Westphalia,North Rhine-Westphalia,50506.4
2005,Rhineland-Palatinate,Rhineland-Palatinate,44340
2005,Saarland,Saarland,49476.1
2005,Saxony,Saxony,35996.4
2005,Saxony-Anhalt,Saxony-Anhalt,33303.4
2005,Schleswig-Holstein,Schleswig-Holstein,42975.1
2005,Thuringia,Thuringia,33299.8
2006,Baden-Wurttemberg,Baden-Wurttemberg,60751.9
2006,Bavaria,Bavaria,59800.6
2006,Berlin,Berlin,49973.4
2006,Brandenburg,Brandenburg,36408
2006,Bremen,Bremen,71322.8
2006,Hamburg,Hamburg,94556.1
2006,Hesse,Hesse,65227.6
2006,Lower Saxony,Lower Saxony,47009.6
2006,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,33695
2006,North Rhine-Westphalia,North Rhine-Westphalia,52197.8
2006,Rhineland-Palatinate,Rhineland-Palatinate,46044.3
2006,Saarland,Saarland,51796.9
2006,Saxony,Saxony,37931.8
2006,Saxony-Anhalt,Saxony-Anhalt,35103.5
2006,Schleswig-Holstein,Schleswig-Holstein,43997.8
2006,Thuringia,Thuringia,34954.6
2007,Baden-Wurttemberg,Baden-Wurttemberg,62954.5
2007,Bavaria,Bavaria,61423.5
2007,Berlin,Berlin,51207.5
2007,Brandenburg,Brandenburg,37387.5
2007,Bremen,Bremen,72568.1
2007,Hamburg,Hamburg,95655.9
2007,Hesse,Hesse,66720
2007,Lower Saxony,Lower Saxony,48365.6
2007,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,35117.5
2007,North Rhine-Westphalia,North Rhine-Westphalia,54313
2007,Rhineland-Palatinate,Rhineland-Palatinate,47259.6
2007,Saarland,Saarland,53568.5
2007,Saxony,Saxony,39188
2007,Saxony-Anhalt,Saxony-Anhalt,36465.2
2007,Schleswig-Holstein,Schleswig-Holstein,44233.2
2007,Thuringia,Thuringia,36202.4
2008,Baden-Wurttemberg,Baden-Wurttemberg,63200.1
2008,Bavaria,Bavaria,61268.4
2008,Berlin,Berlin,52979.3
2008,Brandenburg,Brandenburg,38492.5
2008,Bremen,Bremen,73050.4
2008,Hamburg,Hamburg,97790.5
2008,Hesse,Hesse,67093.2
2008,Lower Saxony,Lower Saxony,49284.3
2008,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,35939.9
2008,North Rhine-Westphalia,North Rhine-Westphalia,55243
2008,Rhineland-Palatinate,Rhineland-Palatinate,47657
2008,Saarland,Saarland,54099.1
2008,Saxony,Saxony,39522.8
2008,Saxony-Anhalt,Saxony-Anhalt,37122.7
2008,Schleswig-Holstein,Schleswig-Holstein,45185.1
2008,Thuringia,Thuringia,36641
2009,Baden-Wurttemberg,Baden-Wurttemberg,57641.8
2009,Bavaria,Bavaria,59059.3
2009,Berlin,Berlin,52114.4
2009,Brandenburg,Brandenburg,37151.2
2009,Bremen,Bremen,65546.9
2009,Hamburg,Hamburg,93173.4
2009,Hesse,Hesse,63286
2009,Lower Saxony,Lower Saxony,46608.4
2009,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,35424.8
2009,North Rhine-Westphalia,North Rhine-Westphalia,52415.7
2009,Rhineland-Palatinate,Rhineland-Palatinate,45690.8
2009,Saarland,Saarland,48501.1
2009,Saxony,Saxony,37985.4
2009,Saxony-Anhalt,Saxony-Anhalt,35275.1
2009,Schleswig-Holstein,Schleswig-Holstein,43208.7
2009,Thuringia,Thuringia,34920.4
2010,Baden-Wurttemberg,Baden-Wurttemberg,62064
2010,Bavaria,Bavaria,61938
2010,Berlin,Berlin,53632.9
2010,Brandenburg,Brandenburg,38812.6
2010,Bremen,Bremen,69002.5
2010,Hamburg,Hamburg,95278.2
2010,Hesse,Hesse,64955.4
2010,Lower Saxony,Lower Saxony,49265.1
2010,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,36446.1
2010,North Rhine-Westphalia,North Rhine-Westphalia,53676.1
2010,Rhineland-Palatinate,Rhineland-Palatinate,48177.2
2010,Saarland,Saarland,51115.2
2010,Saxony,Saxony,39564.6
2010,Saxony-Anhalt,Saxony-Anhalt,37506.7
2010,Schleswig-Holstein,Schleswig-Holstein,43901.3
2010,Thuringia,Thuringia,36983
2011,Baden-Wurttemberg,Baden-Wurttemberg,64802.4
2011,Bavaria,Bavaria,65186.4
2011,Berlin,Berlin,55227.9
2011,Brandenburg,Brandenburg,39818.9
2011,Bremen,Bremen,70423.3
2011,Hamburg,Hamburg,95155.2
2011,Hesse,Hesse,67110.5
2011,Lower Saxony,Lower Saxony,51566.9
