STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT32,Salzburg,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,5115,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT12,Lower Austria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,13523,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,19757,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,5543,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,64111,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,101332,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,75363,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,34039,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,3784,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2021,,6034,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,5834,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,3597,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,33434,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,77745,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,100364,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,62762,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,5593,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,19391,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,18604,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,5189,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,59437,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,92677,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,74443,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,31420,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,3490,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,5737,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,5554,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,3421,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,31173,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,76770,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,90179,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,58258,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,5113,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2024,,18562,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,10.637,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,11.51,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,12.25,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,12.515,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,12.292,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,12.381,,AUS,Australia,A,Normal value,0,Units,2,Two
